plant_no,plant_description,short_description,charge_type,clock_unit,has_clock,ticket_1_required,ticket_2_required,category_1,category_2,category_3,category_4,category_5,category_6,is_active
454,454 - Storage Container (10' x 8') (Power),Storage Container (10' x 8') (Power),Day,,,,,,,,,,,TRUE
455,455 - Dumper Thwaites 9 Tonne (211-KE-4339),Dumper Thwaites 9 Tonne (211-KE-4339),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
456,456 - Office Unit (24' x 10'),Office Unit (24' x 10'),Day,,,,,,,,,,,TRUE
457,457 - Dozer Komatsu D65PX-17 (2016),Dozer Komatsu D65PX-17 (2016),Hour,Hours,TRUE,,,,,,,,,TRUE
458,458 - Cabin Canteen 20' x 10',Cabin Canteen 20' x 10',Day,,,,,,,,,,,TRUE
459,459 - CDE Wash Plant,CDE Wash Plant,Hour,,,,,,,,,,,TRUE
460,460 - Van Caddy (201-D-27235),Van Caddy (201-D-27235),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
461,461 - Cement Silo - Vertical Static - 50 Tonne,Cement Silo - Vertical Static - 50 Tonne,Day,,,,,,,,,,,TRUE
462,462 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
463,463 - Van Sprinter CDI 316 (192-KE-2416),Van Sprinter CDI 316 (192-KE-2416),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
464,464 - Weighbridge,Weighbridge,Day,,,,,,,,,,,TRUE
465,465 - Anti-Vandal Office Unit 24'x10',Anti-Vandal Office Unit 24'x10',Day,,,,,,,,,,,TRUE
466,466 - Anti-Vandal Office Unit 24'x10',Anti-Vandal Office Unit 24'x10',Day,,,,,,,,,,,TRUE
467,467 - Anti-Vandal Canteen / Drying Room 24' x 10',Anti-Vandal Canteen / Drying Room 24' x 10',Day,,,,,,,,,,,TRUE
468,468 - Anti-Vandal Canteen / Drying Room 24' x 10',Anti-Vandal Canteen / Drying Room 24' x 10',Day,,,,,,,,,,,TRUE
469,469 - Generator CAT 33kVA (2024),Generator CAT 33kVA (2024),Hour,Hours,TRUE,,,,,,,,,TRUE
470,470 - Generator AJ Power 33kVA (2024),Generator AJ Power 33kVA (2024),Hour,Hours,TRUE,,,,,,,,,TRUE
471,471 - Anti-Vandal Toilet Unit (Single),Anti-Vandal Toilet Unit (Single),Day,,,,,,,,,,,TRUE
472,472 - Anti-Vandal Toilet Unit (Single),Anti-Vandal Toilet Unit (Single),Day,,,,,,,,,,,TRUE
473,473 - Storage Container (10' x 8') (Power),Storage Container (10' x 8') (Power),Day,,,,,,,,,,,TRUE
474,474 - Trench Roller Wacker RTLx-SC3 (2024),Trench Roller Wacker RTLx-SC3 (2024),Hour,Hours,TRUE,,,,,,,,,TRUE
475,475 - Storage Container (10' x 8') (Power),Storage Container (10' x 8') (Power),Day,,,,,,,,,,,TRUE
476,476 - Storage Container (10' x 8') (Power),Storage Container (10' x 8') (Power),Day,,,,,,,,,,,TRUE
477,477 - Anti-Vandal Office Unit 30'x10',Anti-Vandal Office Unit 30'x10',Day,,,,,,,,,,,TRUE
478,478 - Lighting Tower Trime X-ECOK2 (2016),Lighting Tower Trime X-ECOK2 (2016),Day,,,,,,,,,,,TRUE
479,"479 - Soiled Water Pump 4"" Submersible XJS80 (2025)","Soiled Water Pump 4"" Submersible XJS80 (2025)",Hour,,,,,,,,,,,TRUE
480,480 - Generator AJ Power 33kVA (2024),Generator AJ Power 33kVA (2024),Hour,Hours,TRUE,,,,,,,,,TRUE
481,481 - Mobile Security Tower (Main),Mobile Security Tower (Main),Day,,,,,,,,,,,TRUE
482,482 - Mobile Security Tower (Auxiliary),Mobile Security Tower (Auxiliary),Day,,,,,,,,,,,TRUE
483,483 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
484,484 - Anti-Vandal Toilet Unit (Single),Anti-Vandal Toilet Unit (Single),Day,,,,,,,,,,,TRUE
485,485 - Van Caddy (221-MH-475),Van Caddy (221-MH-475),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
486,486 - Excavator KX060-5 (2025),Excavator KX060-5 (2025),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
487,487 - Van Caddy (231-D-6175),Van Caddy (231-D-6175),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
488,488 - Van Caddy (231-D-6179),Van Caddy (231-D-6179),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
489,489 - Storage Container (Workshop) (20' x 8'),Storage Container (Workshop) (20' x 8'),Day,,,,,,,,,,,TRUE
490,490 - Storage Container (Lab) (20' x 8'),Storage Container (Lab) (20' x 8'),Day,,,,,,,,,,,TRUE
491,491 - Anti-Vandal Canteen Unit (24' x 10'),Anti-Vandal Canteen Unit (24' x 10'),Day,,,,,,,,,,,TRUE
492,492 - Generator AJ Power 550kVA (2025),Generator AJ Power 550kVA (2025),Hour,,,,,,,,,,,TRUE
493,493 - Traffic Lights Millenium V2 (2024),Traffic Lights Millenium V2 (2024),Hour,,,,,,,,,,,TRUE
494,494 - Traffic Lights Millenium V2 (2024),Traffic Lights Millenium V2 (2024),Hour,,,,,,,,,,,TRUE
495,"495 - Soiled Water Pump 4"" Submersible XJ80ND (2025)","Soiled Water Pump 4"" Submersible XJ80ND (2025)",Hour,,,,,,,,,,,TRUE
496,496 - Lighting Tower Trime X-Solar (2007),Lighting Tower Trime X-Solar (2007),Day,,,,,,,,,,,TRUE
497,497 - Lighting Tower Verdegro LL TT-H (2016),Lighting Tower Verdegro LL TT-H (2016),Day,,,,,,,,,,,TRUE
498,498 - Anti-Vandal Canteen / Drying Room 24' x 10',Anti-Vandal Canteen / Drying Room 24' x 10',Day,,,,,,,,,,,TRUE
499,499 - Storage Container (40' x 8'),Storage Container (40' x 8'),Day,,,,,,,,,,,TRUE
500,500 - Loading Shovel Volvo L180H (191-KE-XXXX),Loading Shovel Volvo L180H (191-KE-XXXX),Hour,,,,,TRUE,,,,,,TRUE
A3,A3 - Dumper Trailer Herron 24 Tonne,Dumper Trailer Herron 24 Tonne,Hour,,,,,,,TRUE,,,,TRUE
A4,A4 - Dumper Trailer Herron 18 Tonne,Dumper Trailer Herron 18 Tonne,Hour,,,,,,,TRUE,,,,TRUE
A7,A7 - Stoning Cart JPM 14 Tonne,Stoning Cart JPM 14 Tonne,Hour,,,,,,,,,,,TRUE
A10,"A10 - Plant Trailer Ifor Williams 2,700Kg","Plant Trailer Ifor Williams 2,700Kg",Hour,,,,,,,TRUE,,,,TRUE
A11,A11 - Diesel Bowser JPM Double Axle,Diesel Bowser JPM Double Axle,Hour,,,,,,,,,,,TRUE
A13,A13 - Diesel Bowser Single Axle,Diesel Bowser Single Axle,Hour,,,,,,,,,,,TRUE
A17,A17 - Stoning Cart Herron 24 Tonne,Stoning Cart Herron 24 Tonne,Hour,,,,,,,,,,,TRUE
A18,A18 - Dumper Trailer Herron 24 Tonne,Dumper Trailer Herron 24 Tonne,Hour,,,,,,,TRUE,,,,TRUE
A19,"A19 - Dropside Trailer Ifor Williams 3,500Kg","Dropside Trailer Ifor Williams 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A21,A21 - Mole Grundomat 75mm,Mole Grundomat 75mm,Hour,,,,,,,,,,,TRUE
A22,A22 - Rock Breaker Montaburt 125 7 Tonne,Rock Breaker Montaburt 125 7 Tonne,Hour,,,,,,,,,,,TRUE
A23,A23 - Rock Breaker Montaburt 300 18 Tonne,Rock Breaker Montaburt 300 18 Tonne,Hour,,,,,,,,,,,TRUE
